name,text,manaCost,type,rarity,keywords,games_in_hand,win_rate
Shattered Acolyte,"Lifelink
{1}, Sacrifice this creature: Destroy target artifact or enchantment.",{1}{W},Creature — Dwarf Warlock,common,['Lifelink'],98890,0.559
Soaring Stoneglider,"As an additional cost to cast this spell, exile two cards from your graveyard or pay {1}{W}.
Flying, vigilance",{2}{W},Creature — Elephant Cleric,uncommon,"['Flying', 'Vigilance']",37255,0.537
Stand Up for Yourself,Destroy target creature with power 3 or greater.,{2}{W},Instant,uncommon,,55710,0.57
Stirring Hopesinger,"Flying, lifelink
Repartee — Whenever you cast an instant or sorcery spell that targets a creature, put a +1/+1 counter on each creature you control.",{2}{W},Creature — Bird Bard,rare,"['Flying', 'Lifelink', 'Repartee']",30492,0.627
Stone Docent,"{W}, Exile this card from your graveyard: You gain 2 life. Surveil 1. Activate only as a sorcery. (Look at the top card of your library. You may put it into your graveyard.)",{1}{W},Creature — Spirit Chimera,common,['Surveil'],130580,0.565
Summoned Dromedary,"Vigilance
{1}{W}: Return this card from your graveyard to your hand. Activate only as a sorcery.",{3}{W},Creature — Spirit Camel,uncommon,['Vigilance'],36610,0.542
Banishing Betrayal,Return target nonland permanent to its owner's hand. Surveil 1. (Look at the top card of your library. You may put it into your graveyard.),{1}{U},Instant,common,['Surveil'],85116,0.552
Brush Off,"This spell costs {1}{U} less to cast if it targets an instant or sorcery spell.
Counter target spell.",{2}{U}{U},Instant,uncommon,,58313,0.58
Chase Inspiration,Target creature you control gets +0/+3 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.),{U},Instant,common,,29173,0.543
Deluge Virtuoso,"When this creature enters, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Opus — Whenever you cast an instant or sorcery spell, this creature gets +1/+1 until end of turn. If five or more mana was spent to cast that spell, this creature gets +2/+2 until end of turn instead.",{2}{U},Creature — Human Wizard,common,['Opus'],46936,0.519
Divergent Equation,"Return up to X target instant and/or sorcery cards from your graveyard to your hand.
Exile Divergent Equation.",{X}{X}{U},Instant,uncommon,,63516,0.58
Echocasting Symposium,"Target player creates a token that's a copy of target creature you control.
Paradigm (Then exile this spell. After you first resolve a spell with this name, you may cast a copy of it from exile without paying its mana cost at the beginning of each of your first main phases.)",{4}{U}{U},Sorcery — Lesson,mythic,['Paradigm'],13079,0.579
Essence Scatter,Counter target creature spell.,{1}{U},Instant,common,,141108,0.57
Exhibition Tidecaller,"Opus — Whenever you cast an instant or sorcery spell, target player mills three cards. If five or more mana was spent to cast that spell, that player mills ten cards instead.",{U},Creature — Djinn Wizard,rare,"['Mill', 'Opus']",32444,0.603
Flow State,"Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order. If there is an instant card and a sorcery card in your graveyard, instead put two of them into your hand and the rest on the bottom of your library in any order.",{1}{U},Sorcery,uncommon,,60195,0.568
Fractal Anomaly,"Create a 0/0 green and blue Fractal creature token and put X +1/+1 counters on it, where X is the number of cards you've drawn this turn.",{U},Instant,uncommon,,4494,0.485
Fractalize,"Until end of turn, target creature becomes a green and blue Fractal with base power and toughness each equal to X plus 1. (It loses all other colors and creature types.)",{X}{U},Instant,uncommon,,8904,0.514
Homesickness,"Target player draws two cards. Tap up to two target creatures. Put a stun counter on each of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)",{4}{U}{U},Instant,uncommon,,44706,0.558
Hydro-Channeler,"{T}: Add {U}. Spend this mana only to cast an instant or sorcery spell.
{1}, {T}: Add one mana of any color. Spend this mana only to cast an instant or sorcery spell.",{1}{U},Creature — Merfolk Wizard,common,,107951,0.548
Mana Sculpt,"Counter target spell. If you control a Wizard, add an amount of {C} equal to the amount of mana spent to cast that spell at the beginning of your next main phase.",{1}{U}{U},Instant,rare,,25449,0.579
Mathemagics,"Target player draws 2ˣ cards. (2⁰ = 1, 2¹ = 2, 2² = 4, 2³ = 8, 2⁴ = 16, 2⁵ = 32, and so on.)",{X}{X}{U}{U},Sorcery,mythic,,16682,0.619
Matterbending Mage,"When this creature enters, return up to one other target creature to its owner's hand.
Whenever you cast a spell with {X} in its mana cost, this creature can't be blocked this turn.",{2}{U},Creature — Human Wizard,uncommon,,66844,0.582
Muse Seeker,"Opus — Whenever you cast an instant or sorcery spell, draw a card. Then discard a card unless five or more mana was spent to cast that spell.",{1}{U},Creature — Elf Wizard,uncommon,['Opus'],36358,0.526
Muse's Encouragement,"Create a 3/3 blue and red Elemental creature token with flying.
Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",{4}{U},Instant,common,['Surveil'],46560,0.526
"Orysa, Tide Choreographer","This spell costs {3} less to cast if creatures you control have total toughness 10 or greater.
When Orysa enters, draw two cards.",{4}{U},Legendary Creature — Merfolk Bard,uncommon,,24424,0.533
Pensive Professor,"Increment (Whenever you cast a spell, if the amount of mana you spent is greater than this creature's power or toughness, put a +1/+1 counter on this creature.)
Whenever one or more +1/+1 counters are put on this creature, draw a card.",{1}{U}{U},Creature — Human Wizard,rare,['Increment'],28232,0.586
Procrastinate,"Tap target creature. Put twice X stun counters on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",{X}{U},Sorcery,common,,43516,0.522
Quick Study,Draw two cards.,{2}{U},Instant,common,,89565,0.561
Run Behind,"This spell costs {1} less to cast if it targets an attacking creature.
Target creature's owner puts it on their choice of the top or bottom of their library.",{3}{U},Instant,common,,125311,0.571
Tester of the Tangential,"Increment (Whenever you cast a spell, if the amount of mana you spent is greater than this creature's power or toughness, put a +1/+1 counter on this creature.)
At the beginning of combat on your turn, you may pay {X}. When you do, move X +1/+1 counters from this creature onto another target creature.",{1}{U},Creature — Djinn Wizard,uncommon,['Increment'],33424,0.539
Textbook Tabulator,"Increment (Whenever you cast a spell, if the amount of mana you spent is greater than this creature's power or toughness, put a +1/+1 counter on this creature.)
When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",{2}{U},Creature — Frog Wizard,common,"['Increment', 'Surveil']",38259,0.53
Wisdom of Ages,"Return all instant and sorcery cards from your graveyard to your hand. You have no maximum hand size for the rest of the game.
Exile Wisdom of Ages.",{4}{U}{U}{U},Sorcery,rare,,29367,0.577
Arcane Omens,"Converge — Target player discards X cards, where X is the number of colors of mana spent to cast this spell.",{4}{B},Sorcery,uncommon,['Converge'],54788,0.598
"Arnyn, Deathbloom Botanist","Deathtouch
Whenever a creature you control with power or toughness 1 or less dies, target opponent loses 2 life and you gain 2 life.",{2}{B},Legendary Creature — Vampire Druid,uncommon,['Deathtouch'],17278,0.505
Burrog Banemaker,"Deathtouch
{1}{B}: This creature gets +1/+1 until end of turn.",{B},Creature — Frog Warlock,common,['Deathtouch'],61768,0.544
Cost of Brilliance,Target player draws two cards and loses 2 life. Put a +1/+1 counter on up to one target creature.,{2}{B},Sorcery,common,,88183,0.574
Decorum Dissertation,"Target player draws two cards and loses 2 life.
Paradigm (Then exile this spell. After you first resolve a spell with this name, you may cast a copy of it from exile without paying its mana cost at the beginning of each of your first main phases.)",{3}{B}{B},Sorcery — Lesson,mythic,['Paradigm'],9355,0.562
Dissection Practice,"Target opponent loses 1 life and you gain 1 life.
Up to one target creature gets +1/+1 until end of turn.
Up to one target creature gets -1/-1 until end of turn.",{B},Instant,uncommon,,39592,0.58
End of the Hunt,Target opponent exiles a creature or planeswalker they control with the greatest mana value among creatures and planeswalkers they control.,{1}{B},Sorcery,uncommon,,53176,0.583
Eternal Student,"{1}{B}, Exile this card from your graveyard: Create two 1/1 white and black Inkling creature tokens with flying.",{3}{B},Creature — Zombie Warlock,uncommon,,33011,0.542
Foolish Fate,"Destroy target creature.
Infusion — If you gained life this turn, that creature's controller loses 3 life.",{2}{B},Instant,uncommon,['Infusion'],54439,0.586
Forum Necroscribe,"Ward—Discard a card.
Repartee — Whenever you cast an instant or sorcery spell that targets a creature, return target creature card from your graveyard to the battlefield.",{5}{B},Creature — Troll Warlock,uncommon,"['Repartee', 'Ward']",26857,0.513
Last Gasp,Target creature gets -3/-3 until end of turn.,{1}{B},Instant,common,,121370,0.574
Lecturing Scornmage,"Repartee — Whenever you cast an instant or sorcery spell that targets a creature, put a +1/+1 counter on this creature.",{B},Creature — Human Warlock,uncommon,['Repartee'],44356,0.581
Masterful Flourish,"Target creature you control gets +1/+0 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",{B},Instant,common,,38041,0.561
Melancholic Poet,"Repartee — Whenever you cast an instant or sorcery spell that targets a creature, each opponent loses 1 life and you gain 1 life.",{1}{B},Creature — Elf Bard,common,['Repartee'],96211,0.56
"Moseo, Vein's New Dean","Flying
When Moseo enters, create a 1/1 black and green Pest creature token with ""Whenever this token attacks, you gain 1 life.""
Infusion — At the beginning of your end step, if you gained life this turn, return up to one target creature card with mana value X or less from your graveyard to the battlefield, where X is the amount of life you gained this turn.",{2}{B},Legendary Creature — Bird Skeleton Warlock,rare,"['Flying', 'Infusion']",23833,0.601
Poisoner's Apprentice,"Infusion — When this creature enters, target creature an opponent controls gets -4/-4 until end of turn if you gained life this turn.",{2}{B},Creature — Orc Warlock,uncommon,['Infusion'],32296,0.553
Postmortem Professor,"This creature can't block.
Whenever this creature attacks, each opponent loses 1 life and you gain 1 life.
{1}{B}, Exile an instant or sorcery card from your graveyard: Return this card from your graveyard to the battlefield.",{1}{B},Creature — Zombie Warlock,rare,,23124,0.601
Pull from the Grave,Return up to two target creature cards from your graveyard to your hand. You gain 2 life.,{2}{B},Sorcery,common,,33554,0.527
Rabid Attack,"Until end of turn, any number of target creatures you control each get +1/+0 and gain ""When this creature dies, draw a card.""",{1}{B},Instant,uncommon,,8776,0.504
"Ral Zarek, Guest Lecturer","[+1]: Surveil 2.
[−1]: Any number of target players each discard a card.
[−2]: Return target creature card with mana value 3 or less from your graveyard to the battlefield.
[−7]: Flip five coins. Target opponent skips their next X turns, where X is the number of coins that came up heads.",{1}{B}{B},Legendary Planeswalker — Ral,mythic,['Surveil'],7869,0.546
Send in the Pest,"Each opponent discards a card. You create a 1/1 black and green Pest creature token with ""Whenever this token attacks, you gain 1 life.""",{1}{B},Sorcery,common,,71485,0.55
Sneering Shadewriter,"Flying
When this creature enters, each opponent loses 2 life and you gain 2 life.",{4}{B},Creature — Vampire Warlock,common,['Flying'],42687,0.527
Tragedy Feaster,"Trample
Ward—Discard a card.
Infusion — At the beginning of your end step, sacrifice a permanent unless you gained life this turn.",{2}{B}{B},Creature — Demon,rare,"['Infusion', 'Trample', 'Ward']",16015,0.551
Ulna Alley Shopkeep,"Menace (This creature can't be blocked except by two or more creatures.)
Infusion — This creature gets +2/+0 as long as you gained life this turn.",{2}{B},Creature — Goblin Warlock,common,"['Infusion', 'Menace']",12568,0.49
Wander Off,Exile target creature.,{3}{B},Instant,common,,101931,0.558
Withering Curse,"All creatures get -2/-2 until end of turn.
Infusion — If you gained life this turn, destroy all creatures instead.",{1}{B}{B},Sorcery,mythic,['Infusion'],5910,0.535
Ancestral Anger,"Target creature gains trample and gets +X/+0 until end of turn, where X is 1 plus the number of cards named Ancestral Anger in your graveyard.
Draw a card.",{R},Sorcery,common,,21764,0.528
Archaic's Agony,"Converge — Archaic's Agony deals X damage to target creature, where X is the number of colors of mana spent to cast this spell. Exile cards from the top of your library equal to the excess damage dealt to that creature this way. You may play those cards until the end of your next turn.",{4}{R},Sorcery,uncommon,['Converge'],38949,0.561
Artistic Process,"Choose one —
• Artistic Process deals 6 damage to target creature.
• Artistic Process deals 2 damage to each creature you don't control.
• Create a 3/3 blue and red Elemental creature token with flying. It gains haste until end of turn.",{3}{R}{R},Sorcery,uncommon,,59842,0.568
Charging Strifeknight,"Haste
{T}, Discard a card: Draw a card.",{2}{R},Creature — Spirit Knight,uncommon,['Haste'],57419,0.568
Choreographed Sparks,"This spell can't be copied.
Choose one or both —
• Copy target instant or sorcery spell you control. You may choose new targets for the copy.
• Copy target creature spell you control. The copy gains haste and ""At the beginning of the end step, sacrifice this token.""",{R}{R},Instant,rare,,2205,0.443
Duel Tactics,"Duel Tactics deals 1 damage to target creature. It can't block this turn.
Flashback {1}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{R},Sorcery,uncommon,['Flashback'],20167,0.547
Expressive Firedancer,"Opus — Whenever you cast an instant or sorcery spell, this creature gets +1/+1 until end of turn. If five or more mana was spent to cast that spell, this creature also gains double strike until end of turn.",{1}{R},Creature — Human Sorcerer,common,['Opus'],94168,0.553
Flashback,Target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost. (You may cast that card from your graveyard for its flashback cost. Then exile it.),{R},Instant,rare,,17698,0.542
Garrison Excavator,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever one or more cards leave your graveyard, create a 2/2 red and white Spirit creature token.",{3}{R},Creature — Orc Sorcerer,uncommon,['Menace'],54448,0.567
Heated Argument,"Heated Argument deals 6 damage to target creature. You may exile a card from your graveyard. If you do, Heated Argument also deals 2 damage to that creature's controller.",{4}{R},Instant,common,,112863,0.555
Impractical Joke,Damage can't be prevented this turn. Impractical Joke deals 3 damage to up to one target creature or planeswalker.,{R},Sorcery,uncommon,,75426,0.585
Improvisation Capstone,"Exile cards from the top of your library until you exile cards with total mana value 4 or greater. You may cast any number of spells from among them without paying their mana costs.
Paradigm (Then exile this spell. After you first resolve a spell with this name, you may cast a copy of it from exile without paying its mana cost at the beginning of each of your first main phases.)",{5}{R}{R},Sorcery — Lesson,mythic,['Paradigm'],16511,0.625
Living History,"When this enchantment enters, create a 2/2 red and white Spirit creature token.
Whenever you attack, if a card left your graveyard this turn, target attacking creature gets +2/+0 until end of turn.",{1}{R},Enchantment,uncommon,,48913,0.563
Magmablood Archaic,"Reach, trample
Converge — This creature enters with a +1/+1 counter on it for each color of mana spent to cast it.
Whenever you cast an instant or sorcery spell, creatures you control get +1/+0 until end of turn for each color of mana spent to cast that spell.",{2/R}{2/R}{2/R},Creature — Avatar,rare,"['Converge', 'Reach', 'Trample']",27368,0.567
"Mica, Reader of Ruins","Ward—Pay 3 life. (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays 3 life.)
Whenever you cast an instant or sorcery spell, you may sacrifice an artifact. If you do, copy that spell and you may choose new targets for the copy.",{3}{R},Legendary Creature — Human Artificer,uncommon,['Ward'],15744,0.53
Molten-Core Maestro,"Menace
Opus — Whenever you cast an instant or sorcery spell, put a +1/+1 counter on this creature. If five or more mana was spent to cast that spell, add an amount of {R} equal to this creature's power.",{1}{R},Creature — Goblin Bard,rare,"['Menace', 'Opus']",32030,0.597
Rearing Embermare,"Reach, haste",{4}{R},Creature — Horse Beast,common,"['Haste', 'Reach']",11393,0.497
Rubble Rouser,"When this creature enters, you may discard a card. If you do, draw a card.
{T}, Exile a card from your graveyard: Add {R}. When you do, this creature deals 1 damage to each opponent.",{2}{R},Creature — Dwarf Sorcerer,common,,150144,0.578
Seize the Spoils,"As an additional cost to cast this spell, discard a card.
Draw two cards and create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",{2}{R},Sorcery,common,['Treasure'],81231,0.549
Steal the Show,"Choose one or both —
• Target player discards any number of cards, then draws that many cards.
• Steal the Show deals damage equal to the number of instant and sorcery cards in your graveyard to target creature or planeswalker.",{2}{R},Sorcery,rare,,13845,0.545
Tablet of Discovery,"When this artifact enters, mill a card. You may play that card this turn. (To mill a card, put the top card of your library into your graveyard.)
{T}: Add {R}.
{T}: Add {R}{R}. Spend this mana only to cast instant and sorcery spells.",{2}{R},Artifact,uncommon,['Mill'],53533,0.567
Tackle Artist,"Trample
Opus — Whenever you cast an instant or sorcery spell, put a +1/+1 counter on this creature. If five or more mana was spent to cast that spell, put two +1/+1 counters on this creature instead.",{3}{R},Creature — Orc Sorcerer,common,"['Opus', 'Trample']",59457,0.527
Thunderdrum Soloist,"Reach
Opus — Whenever you cast an instant or sorcery spell, this creature deals 1 damage to each opponent. If five or more mana was spent to cast that spell, this creature deals 3 damage to each opponent instead.",{1}{R},Creature — Dwarf Bard,uncommon,"['Opus', 'Reach']",42783,0.553
Tome Blast,"Tome Blast deals 2 damage to any target.
Flashback {4}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{1}{R},Sorcery,common,['Flashback'],165992,0.573
Unsubtle Mockery,Unsubtle Mockery deals 4 damage to target creature. Surveil 1. (Look at the top card of your library. You may put it into your graveyard.),{2}{R},Instant,common,['Surveil'],164745,0.575
Zealous Lorecaster,"When this creature enters, return target instant or sorcery card from your graveyard to your hand.",{5}{R},Creature — Giant Sorcerer,common,,87344,0.546
Aberrant Manawurm,"Trample
Whenever you cast an instant or sorcery spell, this creature gets +X/+0 until end of turn, where X is the amount of mana spent to cast that spell.",{3}{G},Creature — Wurm,uncommon,['Trample'],15297,0.509
Additive Evolution,"When this enchantment enters, create a 0/0 green and blue Fractal creature token. Put three +1/+1 counters on it.
At the beginning of combat on your turn, put a +1/+1 counter on target creature you control. It gains vigilance until end of turn.",{3}{G}{G},Enchantment,uncommon,,44403,0.573
Ambitious Augmenter,"Increment (Whenever you cast a spell, if the amount of mana you spent is greater than this creature's power or toughness, put a +1/+1 counter on this creature.)
When this creature dies, if it had one or more counters on it, create a 0/0 green and blue Fractal creature token, then put this creature's counters on that token.",{G},Creature — Turtle Wizard,rare,['Increment'],24282,0.604
Burrog Barrage,Target creature you control gets +1/+0 until end of turn if you've cast another instant or sorcery spell this turn. Then it deals damage equal to its power to up to one target creature an opponent controls.,{1}{G},Instant,common,,78564,0.552
Chelonian Tackle,Target creature you control gets +0/+10 until end of turn. Then it fights up to one target creature an opponent controls. (Each deals damage equal to its power to the other.),{2}{G},Sorcery,uncommon,['Fight'],13555,0.502
Comforting Counsel,"Whenever you gain life, put a growth counter on this enchantment.
As long as there are five or more growth counters on this enchantment, creatures you control get +3/+3.",{1}{G},Enchantment,rare,,5244,0.452
Efflorescence,"Put two +1/+1 counters on target creature.
Infusion — If you gained life this turn, that creature also gains trample and indestructible until end of turn.",{2}{G},Instant,common,['Infusion'],5876,0.494
"Emil, Vastlands Roamer","Creatures you control with +1/+1 counters on them have trample.
{4}{G}, {T}: Create a 0/0 green and blue Fractal creature token. Put X +1/+1 counters on it, where X is the number of differently named lands you control.",{2}{G},Legendary Creature — Elf Druid,uncommon,,31663,0.53
Environmental Scientist,"When this creature enters, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.",{1}{G},Creature — Human Druid,uncommon,,63616,0.611
Follow the Lumarets,"Infusion — Look at the top four cards of your library. You may reveal a creature or land card from among them and put it into your hand. If you gained life this turn, you may instead reveal two creature and/or land cards from among them and put them into your hand. Put the rest on the bottom of your library in a random order.",{1}{G},Sorcery,common,['Infusion'],25222,0.517
Germination Practicum,"Put two +1/+1 counters on each creature you control.
Paradigm (Then exile this spell. After you first resolve a spell with this name, you may cast a copy of it from exile without paying its mana cost at the beginning of each of your first main phases.)",{3}{G}{G},Sorcery — Lesson,mythic,['Paradigm'],11307,0.584
Glorious Decay,"Choose one —
• Destroy target artifact.
• Glorious Decay deals 4 damage to target creature with flying.
• Exile target card from a graveyard. Draw a card.",{1}{G},Instant,common,,6287,0.513
Hungry Graffalon,"Reach
Increment (Whenever you cast a spell, if the amount of mana you spent is greater than this creature's power or toughness, put a +1/+1 counter on this creature.)",{3}{G},Creature — Giraffe,common,"['Increment', 'Reach']",14428,0.507
Lumaret's Favor,"Infusion — When you cast this spell, copy it if you gained life this turn. You may choose new targets for the copy.
Target creature gets +2/+4 until end of turn.",{1}{G},Instant,uncommon,['Infusion'],7584,0.528
Mindful Biomancer,"When this creature enters, you gain 1 life.
{2}{G}: This creature gets +2/+2 until end of turn. Activate only once each turn.",{1}{G},Creature — Dryad Druid,common,,56336,0.534
Noxious Newt,"Deathtouch
{T}: Add {G}.",{1}{G},Creature — Salamander,common,['Deathtouch'],94140,0.554
Oracle's Restoration,Target creature you control gets +1/+1 until end of turn. You draw a card and gain 1 life.,{G},Sorcery,common,,11859,0.494
Pestbrood Sloth,"Reach
When this creature dies, create two 1/1 black and green Pest creature tokens with ""Whenever this token attacks, you gain 1 life.""",{3}{G},Creature — Plant Sloth,uncommon,['Reach'],51066,0.588
Planar Engineering,"Sacrifice two lands. Search your library for four basic land cards, put them onto the battlefield tapped, then shuffle.",{3}{G},Sorcery,rare,,11449,0.559
Shopkeeper's Bane,"Trample
Whenever this creature attacks, you gain 2 life.",{2}{G},Creature — Badger Pest,common,['Trample'],44220,0.531
Slumbering Trudge,"This creature enters with a number of stun counters on it equal to three minus X. If X is 2 or less, it enters tapped. (If a permanent with a stun counter would become untapped, remove one from it instead.)",{X}{G},Creature — Plant Beast,rare,,25247,0.591
Snarl Song,"Converge — Create two 0/0 green and blue Fractal creature tokens. Put X +1/+1 counters on each of them and you gain X life, where X is the number of colors of mana spent to cast this spell.",{5}{G},Sorcery,uncommon,['Converge'],78858,0.617
Tenured Concocter,"Vigilance
Whenever this creature becomes the target of a spell or ability an opponent controls, you may draw a card.
Infusion — This creature gets +2/+0 as long as you gained life this turn.",{4}{G},Creature — Troll Druid,common,"['Infusion', 'Vigilance']",34266,0.522
Thornfist Striker,"Ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
Infusion — Creatures you control get +1/+0 and have trample as long as you gained life this turn.",{2}{G},Creature — Elf Druid,uncommon,"['Infusion', 'Ward']",31859,0.56
Topiary Lecturer,"Increment (Whenever you cast a spell, if the amount of mana you spent is greater than this creature's power or toughness, put a +1/+1 counter on this creature.)
{T}: Add an amount of {G} equal to this creature's power.",{2}{G},Creature — Elf Druid,uncommon,['Increment'],30331,0.545
Wild Hypothesis,"Create a 0/0 green and blue Fractal creature token. Put X +1/+1 counters on it.
Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",{X}{G},Sorcery,common,['Surveil'],31100,0.522
Wildgrowth Archaic,"Reach, trample
Converge — This creature enters with a +1/+1 counter on it for each color of mana spent to cast it.
Whenever you cast a creature spell, that creature enters with X additional +1/+1 counters on it, where X is the number of colors of mana spent to cast it.",{2/G}{2/G},Creature — Avatar,rare,"['Converge', 'Reach', 'Trample']",23271,0.564
Zimone's Experiment,"Look at the top five cards of your library. You may reveal up to two creature and/or land cards from among them, then put the rest on the bottom of your library in a random order. Put all land cards revealed this way onto the battlefield tapped and put all creature cards revealed this way into your hand.",{3}{G},Sorcery,uncommon,,16329,0.523
